"Id","State","Suppressed","Error Number","Message","Entity","Path","Line","Provider","Severity","Justification"
"A00048_CRYPTO_A00048-381:SV9581","added","false","Generic-MissingOverride","Override of functions is only permitted with keyword override.","GetIOInterface()","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","40","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9579","added","false","AutosarC++19_03-A12.1.4","Constructor shall be declared explicit","VolatileTrustedContainerImpl()","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","31","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9578","added","false","AutosarC++19_03-A12.0.1","Class with destructor should also declare a copy or move constructor and assignment operator.","VolatileTrustedContainerImpl","avin-ap/crypto/source/utils/inc/public/volatile_trusted_container_impl.h","27","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9465","added","false","AutosarC++19_03-A5.1.1","Use of magic string literal.","""%02x%02x%02x%02x-%02x%02x-%02x%02x-%02x%02x-%02x%02x%02x%02x%02x%02x""","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","107","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9457","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","6","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","87","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9458","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","16","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","93","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9459","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","16","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","96","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9460","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","98","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9461","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","100","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9462","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0xFF","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","100","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9463","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","104","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9464","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0xFF","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","104","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9466","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","3","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","108","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9467","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","6","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","108","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9468","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","4","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","108","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9469","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","5","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","108","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9470","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","10","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","109","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9471","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","12","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","109","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9472","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","109","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9473","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","7","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","109","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9474","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","9","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","109","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9475","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","11","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","109","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9476","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","13","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","109","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9477","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","14","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","110","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9478","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","15","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","110","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9479","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","16","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","123","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9480","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","10","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","126","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9481","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","6","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","128","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9482","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","130","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9483","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0xFF","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","130","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9484","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","6","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","132","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9485","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","134","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9486","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","4","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","134","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9487","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0xF0","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","134","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9488","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0x10","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","135","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9489","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","136","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9490","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","4","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","136","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9491","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0x0F","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","136","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9492","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","7","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","138","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9493","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","140","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9494","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","4","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","140","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9495","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0xF0","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","140","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9496","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","142","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9497","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","0x0F","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","142","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9498","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","144","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9499","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","10","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","149","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9500","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","16","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","151","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9501","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","9","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","153","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9502","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","155","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9503","added","false","AutosarC++19_03-A5.1.1","Use of magic literal.","8","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","160","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9448","added","false","AutosarC++19_03-A4.5.1","Use of enum operand in arithmetic or similar context","IFF_LOOPBACK","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","70","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9439","added","false","CodingStyle-AllmanBraces","Use Allman bracing style. Statement should be outdented to start in column 5.",";","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","54","axivion","error",""
"A00048_CRYPTO_A00048-381:SV9572","added","false","AutosarC++19_03-M18.0.5","Usage of forbidden entity from <cstring>.","strcpy()","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","67","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9453","added","false","AutosarC++19_03-A5.0.2","Sub-condition must have type bool","!(bool)&","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","70","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9523","added","false","AutosarC++19_03-M0.1.9","Statement can be removed","if","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","52","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9525","added","false","AutosarC++19_03-M0.1.9","Statement can be removed","try","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","172","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9529","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(<unnamed enum>->bool)((signed short) & (<unnamed enum>))","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","70","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9530","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(uint64_t->uint8_t)(uint64_t & int16_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","100","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9531","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(uint64_t->uint8_t)(uint64_t & int16_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","104","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9532","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(uint64_t->uint8_t)(uint64_t & int16_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","130","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9533","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(uint64_t->uint8_t)(uint64_t >> int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","134","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9534","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(uint64_t->uint8_t)(uint64_t << int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","136","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9535","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(uint64_t->uint8_t)(uint64_t >> int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","140","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9536","added","false","AutosarC++19_03-M5.0.3","Result of cvalue expression implicitly converted to different underlying type","(uint64_t->uint8_t)(uint64_t & int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","142","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9441","added","false","AutosarC++19_03-A0.1.1","Result of assignment is not used","e","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","168","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9455","added","false","AutosarC++19_03-A5.0.4","Pointer arithmetic on non-final classes not allowed","+","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","63","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9456","added","false","AutosarC++19_03-A5.0.4","Pointer arithmetic on non-final classes not allowed","++it","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","65","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9548","added","false","AutosarC++19_03-M5.0.15","Pointer arithmetic not allowed","+","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","63","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9549","added","false","AutosarC++19_03-M5.0.15","Pointer arithmetic not allowed","++it","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","65","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9550","added","false","AutosarC++19_03-M5.0.15","Pointer arithmetic not allowed","+","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","182","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9568","added","false","AutosarC++19_03-M5.3.1","Operand of logical operator shall be of type bool","!(bool)&","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","70","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9569","added","false","AutosarC++19_03-M6.2.3","Null statement not on a line by itself","","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","54","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9552","added","false","AutosarC++19_03-M5.0.20","Non-constant operands of bitwise operator differ in underlying type","|=,uint8_t,uint64_t","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","140","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9553","added","false","AutosarC++19_03-M5.0.20","Non-constant operands of bitwise operator differ in underlying type","|=,uint8_t,uint64_t","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","142","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9554","added","false","AutosarC++19_03-M5.0.20","Non-constant operands of bitwise operator differ in underlying type","|=,uint64_t,uint8_t","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","156","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9555","added","false","AutosarC++19_03-M5.0.20","Non-constant operands of bitwise operator differ in underlying type","|=,uint64_t,uint8_t","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","161","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9522","added","false","AutosarC++19_03-M0.1.4","Local variable initialized but not referenced","e","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","176","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9571","added","false","AutosarC++19_03-M6.4.2","Last if in the if-cascade has no else.","","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","144","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9527","added","false","AutosarC++19_03-M0.3.2","Integral return value (possibly error code) discarded.","sprintf()","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","107","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9515","added","false","AutosarC++19_03-A18.0.1","Include <cstring> instead of <string.h>.","string.h","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","27","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9537","added","false","AutosarC++19_03-M5.0.4","Implicit integral conversion changes signedness of underlying type","(signed int->unsigned int)ifc_len","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","63","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9538","added","false","AutosarC++19_03-M5.0.4","Implicit integral conversion changes signedness of underlying type","(signed long long->uint64_t)count()","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","122","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9539","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(uint64_t->uint8_t)(uint64_t & int16_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","100","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9540","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(uint64_t->uint8_t)(uint64_t & int16_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","104","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9541","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(uint64_t->uint8_t)(uint64_t & int16_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","130","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9542","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(uint64_t->uint8_t)(uint64_t >> int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","134","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9543","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(uint64_t->uint8_t)(uint64_t << int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","136","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9544","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(uint64_t->uint8_t)(uint64_t >> int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","140","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9545","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(int16_t->uint8_t)0xb0","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","141","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9546","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(uint64_t->uint8_t)(uint64_t & int8_t)","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","142","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9547","added","false","AutosarC++19_03-M5.0.6","Implicit conversion reduces size of underlying type","(int16_t->uint8_t)0xbc","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","146","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9528","added","false","AutosarC++19_03-M2.10.1","Identifiers only differ in casing","Type 'Uuid' vs. Parameter 'uuid'","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","168","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9442","added","false","AutosarC++19_03-A2.13.5","Hexadecimal constants should be upper case.","0xb0","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","141","axivion","advisory",""
"A00048_CRYPTO_A00048-381:SV9443","added","false","AutosarC++19_03-A2.13.5","Hexadecimal constants should be upper case.","0xbc","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","146","axivion","advisory",""
"A00048_CRYPTO_A00048-381:SV9444","added","false","AutosarC++19_03-A3.9.1","Fixed width integer types from <cstdint> shall be used.","char","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","48","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9445","added","false","AutosarC++19_03-A3.9.1","Fixed width integer types from <cstdint> shall be used.","signed int","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","49","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9446","added","false","AutosarC++19_03-A3.9.1","Fixed width integer types from <cstdint> shall be used.","signed int","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","51","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9447","added","false","AutosarC++19_03-A3.9.1","Fixed width integer types from <cstdint> shall be used.","char","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","94","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9526","added","false","AutosarC++19_03-M0.1.9","Declaration can be removed","","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","176","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9524","added","false","AutosarC++19_03-M0.1.9","Dead (redundant) code: result of assignment is not used","e","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","168","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9454","added","false","AutosarC++19_03-A5.0.2","Condition must have type bool","(bool)success","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","86","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9440","added","false","CodingStyle-Naming.Class","Class names shall use pascal case.","uuidImpl","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","40","axivion","error",""
"A00048_CRYPTO_A00048-381:SV9449","added","false","AutosarC++19_03-A4.7.1","Cast may truncate value","(unsigned int)ifc_len","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","63","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9450","added","false","AutosarC++19_03-A4.7.1","Cast may truncate value","(uint64_t)count()","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","122","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9506","added","false","AutosarC++19_03-A7.1.3","CV qualifier on the lhs of a type.","const String","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","168","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9520","added","false","AutosarC++19_03-A27.0.4","C-style strings should not be used.","char[]","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","48","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9521","added","false","AutosarC++19_03-A27.0.4","C-style strings should not be used.","char[]","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","94","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9516","added","false","AutosarC++19_03-A18.1.1","C-style arrays should not be used.","char[]","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","48","axivion","advisory",""
"A00048_CRYPTO_A00048-381:SV9517","added","false","AutosarC++19_03-A18.1.1","C-style arrays should not be used.","uint8_t[]","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","93","axivion","advisory",""
"A00048_CRYPTO_A00048-381:SV9518","added","false","AutosarC++19_03-A18.1.1","C-style arrays should not be used.","char[]","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","94","axivion","advisory",""
"A00048_CRYPTO_A00048-381:SV9519","added","false","AutosarC++19_03-A18.1.1","C-style arrays should not be used.","uint8_t[]","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","123","axivion","advisory",""
"A00048_CRYPTO_A00048-381:SV9507","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","success","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","49","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9508","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","sock","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","51","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9509","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","it","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","62","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9510","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","end","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","63","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9511","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","index","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","96","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9512","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","timeinNanoSeconds","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","120","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9513","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","index","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","126","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9514","added","false","AutosarC++19_03-A8.5.2","Braced-initialization {}, without equals sign, shall be used for variable initialization.","index","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","151","axivion","required",""
"A00048_CRYPTO_A00048-381:SV9570","added","false","AutosarC++19_03-M6.4.1","Block required as then branch.","","avin-ap/crypto/source/utils/inc/public/uuid_impl.h","87","axivion","required",""
